№,Адрес,Име на училище,Вид училище по чл. 10 от ЗНП,Вид училище по чл. 26от ЗНП
373,"Долни чифлик, Варна, Долни чифлик, ""Сокачев"" 4, 9120","Професионална гимназия по селско   стопанствo  ""Иван Владимирович Мичурин""",Министерство на земеделието и храните,професионална гимназия
374,"Долни чифлик, Варна, Пчелник, ул. ""Паисий Хилендарски"" 19, 9118","Основно училище  ""Христо Ботев""",община,основно (І - VІІІ клас)
375,"Старо Оряхово, Варна, Долни чифлик, 9110, ул. "" Кирил и Методий"" №36","Основно училище  ""Св. св. Кирил и Методий""",община,основно с (присъединена) група в детска градина
376,"Шкорпиловци, Варна, Долни чифлик, 9112, с. Шкорпиловци","Начално училище   ""Св.Св.Кирил и Методий""",община,начално (І - ІV клас)
377,"Дългопол, Варна, Дългопол, 9250, ул.Цар Симеон №50","Средно общообразователно училище  ""Свети Климент Охридски""",община,СОУ (І - ХІІ клас)
378,"Дългопол, Варна, Дългопол, 9250, гр.Дългопол, ул. ""Иван Вазов"" №11","Начално училище ""Иван Вазов""",община,начално (І - ІV клас)
379,"Варна, Дългопол, Лопушна, с.Лопушна, 9237","Основно училище ""Митко Палаузов""",община,основно (І - VІІІ клас)
380,"Медовец, Варна, Дългопол, 9238, с.Медовец","Средно общообразователно училище""Назъм Хикмет""",община,СОУ (І - ХІІ клас)
381,"Партизани, Варна, Дългопол, с.Партизани ул.15 №11, 9245","Основно училище  ""Христо Ботев""",община,основно (І - VІІІ клас)
382,"Поляците, Варна, Дългопол, с.Поляците, 9239","Основно училище  "" Васил  Левски """,община,основно (І - VІІІ клас)
383,"Варна, Дългопол, Цонево, с.Цонево, 9251","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
384,"Варна, Провадия, Блъсково, 9240, с.Блъсково","Основно училище   ""Св.Св.Кирил и Методий""",община,основно (І - VІІІ клас)
385,"Варна, Провадия, Бозвелийско, 9273, с.Бозвелийско,ул.ІІ, № 9 А","Основно училище ""Васил Левски""",община,основно (І - VІІІ клас)
386,"Градинарово, Варна, Провадия, 9243, с.Градинарово","Основно Училище   ""Св. Св. Кирил и Методий""",община,основно (І - VІІІ клас)
387,"Провадия, Варна, Житница, 9278, с. Житница","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
388,"Кривня, Варна, Провадия, с.Кривня, 9217","Помощно училище  ""Свети свети  Кирил и Методий""",Министерство на образованието и науката,помощно (за деца с умствена изостаналост)
389,"Провадия, Варна, Провадия, Ул.""Св.Св.Кирил и Методий""82а, 9200","Първо основно  училище   ""Христо Смирненски""",община,основно (І - VІІІ клас)
390,"Варна, Провадия, Провадия, ул.""Дунав""№17, 9200","Второ  основно  училище  ""Иван  Вазов""",община,основно (І - VІІІ клас)
391,"Провадия, Варна, Провадия, 9200, ул.Дунав №72",Средно общообразователно училище   Димитър Благоев,община,СОУ (І - ХІІ клас)
392,"Провадия, Варна, Провадия, ул. ""Св.Св.Кирил и Методий"" №82А, 9200","Професионална гимназия по   хотелиерство, ресторантьорство и туризъм  ""Цар Симеон Велики""",община,професионална гимназия
393,"Провадия, Варна, Провадия, г. Провадия, кв.""Север"", 9200","Професионална гимназия  по селско стопанство ""Земя""",Министерство на земеделието и храните,професионална гимназия
394,"Провадия, Варна, Славейково, 9247, с. Славейково","Основно училище ""Асен Златаров""",община,основно (І - VІІІ клас)
395,"Провадия, Варна, Снежина, с.Снежина, 9244","Начално училище ""Христо Ботев""",община,начално с (присъединена) група в детска градина
396,"Николаевка, Варна, Суворово, с.Николаевка, 9172","Основно  училище  ""Христо Ботев""",община,ОУ с професионални паралелки
397,"Варна, Суворово, Суворово, бул.""Възраждане"" 11, 9170","Средно общообразователно училище  ""Никола Йонков Вапцаров""",община,СОУ (І - ХІІ клас)
398,"Суворово, Варна, Суворово, 9170, гр.Суворово п.к.26",Професионална гимназия по селско стопанство Свети Георги Победоносец,Министерство на земеделието и храните,професионална гимназия
399,"Суворово, Варна, Чернево, ул.""Георги Бенковски"" №2, 9174","Основно училище  ""Христо  Ботев""",община,основно (І - VІІІ клас)
400,"Велико Търново, Велико Търново, Балван, 0, 5064","Основно училище ""Св. Иван Рилски""",община,основно (І - VІІІ клас)
401,"Велико Търново, Велико Търново, Велико Търново, 5000, М. Кефалов, 2","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
402,"Велико Търново, Велико Търново, Велико Търново, Филип Тотю 20, 5000","Основно училище ""Бачо Киро""",община,основно (І - VІІІ клас)
403,"Велико Търново, Велико Търново, Велико Търново, ул. Мармарлийска 13, 5000","Основно училище   ""Св. Патриарх Евтимий""",община,основно (І - VІІІ клас)
404,"Велико Търново, Велико Търново, Велико Търново, гр.Велико Търново,ул.""Христо Смирненски"" 1 А, 5000","Основно училище  ""Димитър Благоев""",община,основно (І - VІІІ клас)
405,"Велико Търново, Велико Търново, Велико Търново, УЛ""ОСВОБОЖДЕНИЕ""№29, 5000","Основно училище ""Петко Рачев Славейков""",община,основно (І - VІІІ клас)
406,"Велико Търново, Велико Търново, Велико Търново, ул. ""Климент Охридски"" 50, 5000","Помощно училище ""Св. Теодосий Търновски""",Министерство на образованието и науката,помощно (за деца с умствена изостаналост)
407,"Велико Търново, Велико Търново, Велико Търново, 5000, ул.""Михаил Кефалов""2","Хуманитарна гимназия   "" Свети свети Кирил и Методий""",община,профилирана гимназия
408,"Велико Търново, Велико Търново, Велико Търново, ул. "" Вела Благоева "" 10, 5000","Природо-математическа гимназия ""Васил Друмев""",община,профилирана гимназия
409,"Велико Търново, Велико Търново, Велико Търново, 5000, ""Славянска"" 2","Езикова гимназия ""Проф. д-р Асен Златаров""",община,профилирана гимназия
410,"Велико Търново, Велико Търново, Велико Търново, 5000, ул. Мария Габровска"" 1","Средно общообразователно училище   ""Емилиян Станев""",община,СОУ (І - ХІІ клас)
411,"Велико Търново, Велико Търново, Велико Търново, 5000, кв.""Бузлуджа"", ул. ""К. Паница""№1","Средно общообразователно училище   ""Вела Благоева""",община,СОУ (І - ХІІ клас)
412,"Велико Търново, Велико Търново, Велико Търново, 5000, ул.""Бяла Бона""№9","Средно общообразователно училище   ""Владимир Комаров""",община,СОУ (І - ХІІ клас)
413,"Велико Търново, Велико Търново, Велико Търново, 5000, ул. ""Г. Измирлиев""№2","Средно общообразователно училище   ""Георги Стойков Раковски""",община,СОУ (І - ХІІ клас)
414,"Велико Търново, Велико Търново, Велико Търново, 5002, ул. ""Никола Габровски"" 21","Професионална гимназия по строителство, архитектура и геодезия ""Ангел Попов""",Министерство на образованието и науката,професионална гимназия
415,"Велико Търново, Велико Търново, Велико Търново, "" Панарет Рашев"" №24, 5000",Старопрестолна гимназия по икономика,Министерство на образованието и науката,професионална гимназия
416,"Велико Търново, Велико Търново, Велико Търново, 5002, ул.„Никола Гинев""№2","Професионална гимназия по електроника  ""Александър Степанович Попов""",Министерство на образованието и науката,професионална гимназия
417,"Велико Търново, Велико Търново, Велико Търново, ул.""Мармарлийска"" №26, 5000",Професионална гимназия по моден дизайн,Министерство на образованието и науката,професионална гимназия
418,"Велико Търново, Велико Търново, Велико Търново, 5000, ул. ""Цанко Церковски""10","Професионална гимназия по туризъм   ""Д-р Васил Берон""",Министерство на образованието и науката,професионална гимназия
419,"Велико Търново, Велико Търново, Велико Търново, ""МАРМАРЛИЙСКА"" №26, 5002","Професионална гимназия по сградостроителство ""Кольо Фичето""",община,професионална гимназия
420,"Велико Търново, Велико Търново, Велико Търново, ул. ""Драгоман"" №16, 5000","Частна профилирана гимназия   ""АК - Аркус""",частно финансиране,профилирана гимназия
421,"Велико Търново, Велико Търново, Велико Търново, За коресп.:ул.""Асен Златаров"" № 5  ет.2, 5000",Частен професионален колеж по икономика и счетоводство,частно финансиране,професионален колеж
422,"Велико Търново, Велико Търново, Велико Търново, 5000, Георги Измирлиев 2",СПОРТНО УЧИЛИЩЕ - ГРАД ВЕЛИКО ТЪРНОВО,община,спортно
423,"Водолей, Велико Търново, Велико Търново, 5061, с. Водолей","Основно училище   ""Христо Смирненски""",община,основно (І - VІІІ клас)
424,"Велико Търново, Велико Търново, Дебелец, 5030, "" Св.П. Евтимий"" 133","Основно училище ""Д-р Петър Берон""",община,основно (І - VІІІ клас)
425,"Велико Търново, Велико Търново, Килифарево, 5050, ул. ""Пенчо Цонев"" № 2","Основно училище "" Неофит Рилски """,община,основно (І - VІІІ клас)
426,"Велико Търново, Велико Търново, Леденик, 5049, с. Леденик,общ. В.Търново,обл. В.Търново","Основно училище ""Васил Левски""",община,основно (І - VІІІ клас)
427,"Ново село, Велико Търново, Велико Търново, 5069, с.Ново село, ул. ""Първа"" 4","Помощно училище ""Иван Вазов""",Министерство на образованието и науката,помощно (за деца с умствена изостаналост)
428,"Ресен, Велико Търново, Велико Търново, 5060, ул.""Георги Димитров"" 26","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
429,"Велико Търново, Велико Търново, Русаля, с. Русаля, общ.Велико Търново, 5057","Частно начално училище по изкуствата ""Димитър Екимов""",частно финансиране,начално (І - ІV клас)
430,"Самоводене, Велико Търново, Велико Търново, 5040, ул.""Васил Левски "" №36","Основно училище ""Христо Смирненски""",община,основно (І - VІІІ клас)
431,"Велико Търново, Велико Търново, Церова кория, 5047, с. Церова кория","Основно училище   ""Петко Рачев Славейков""",община,основно (І - VІІІ клас)
432,"Велико Търново, Горна Оряховица, Върбица, с.Върбица ул. Божур 7, 5128","Основно училище ""Васил Левски""",община,основно (І - VІІІ клас)
433,"Велико Търново, Горна Оряховица, Горна Оряховица, 5100, ул.""Иван Вазов"", №40","Основно училище ""Иван Вазов""",община,основно (І - VІІІ клас)
434,"Горна Оряховица, Велико Търново, Горна Оряховица, 5100, ул. "" Васил Априлов "" № 50","Основно училище ""Св.св .Кирил и Методий""",община,основно (І - VІІІ клас)
435,"Горна Оряховица, Велико Търново, Горна Оряховица, 5120, ул Съединение 19","Основно училище   ""Св. Паисий Хилендарски""",община,основно (І - VІІІ клас)
436,"Горна Оряховица, Велико Търново, Горна Оряховица, ""Ангел Кънчев"" 17, 5100","Средно общообразователно училище    ""Георги Измирлиев""",община,СОУ (І - ХІІ клас)
437,"Горна Оряховица, Велико Търново, Горна Оряховица, 5100, Цар Освободител №6, п.к.117","Средно общообразователно училище                                       ""Вичо Грънчаров""",община,СОУ (І - ХІІ клас)
438,"Велико Търново, Горна Оряховица, Горна Оряховица, ул. ""Ангел Кънчев"" № 27, 5100","Професионална техническа гимназия ""Васил Левски""",Министерство на образованието и науката,професионална гимназия
439,"Велико Търново, Горна Оряховица, Горна Оряховица, ""Никола Петров"" №31, 5100","Професионална гимназия по електротехника и електроника   ""Михайло Василиевич Ломоносов""",Министерство на образованието и науката,професионална гимназия
440,"Горна Оряховица, Велико Търново, Горна Оряховица, 5100, ул ""Св.Княз Борис I "" 74","Професионална гимназия    по хранителни технологии ""Проф.д-р Асен Златаров""",Министерство на земеделието и храните,професионална гимназия
441,"Горна Оряховица, Велико Търново, Горна Оряховица, 5100, ""Свети княз Борис I "",№ 25","Професионална гимназия по лека промишленост и икономика ""Атанас Буров""",Министерство на образованието и науката,професионална гимназия
442,"Горна Оряховица, Велико Търново, Горна Оряховица, 5100, ул."" А. Страшимиров"" №44","Професионална гимназия по железопътен транспорт ""Никола Йонков Вапцаров""",Министерство на образованието и науката,професионална гимназия
443,"Горна Оряховица, Велико Търново, Долна Оряховица, 5130, ул.""Георги Измирлиев""№21","Основно училище ""Св. св. Кирил и Методий""",община,основно (І - VІІІ клас)
444,"Велико Търново, Горна Оряховица, Драганово, Стефан Караджа 9, 5137","Основно училище ""Климент Охридски""",община,основно (І - VІІІ клас)
445,"Велико Търново, Горна Оряховица, Крушето, 5134, с. Крушето, общ. Горна Оряховица, обл. В. Търново","Професионална гимназия по селско стопанство ""Боруш""",община,професионална гимназия
446,"Горна Оряховица, Велико Търново, Писарево, ул. ""Ал. Стамболийски"" 4, 5127","Основно училище ""Отец Паисий""",община,основно (І - VІІІ клас)
447,"Горна Оряховица, Велико Търново, Поликраище, 5138, Васил Левски 63","Основно училище ""Св.Св.Кирил и Методий""",община,основно (І - VІІІ клас)
448,"Горна Оряховица, Велико Търново, Първомайци, ул. ""Александър Батенберг"" №37, 5139","Основно училище ""Елин Пелин""",община,основно (І - VІІІ клас)
449,"Елена, Велико Търново, Беброво, ул. ""Трета "" № 8, 5084","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
450,"Елена, Велико Търново, Елена, 5070, ул. ""Паисий Хилендарски"" № 2","Начално училище ""Иларион Макариополски""",община,начално (І - ІV клас)
451,"Велико Търново, Елена, Елена, ул.""Паисий Хилендарски"" 2, 5070","Средно общообразователно училище   ""Иван Николов Момчилов""",община,СОУ (І - ХІІ клас)
452,"Елена, Велико Търново, Константин, 5080, УЛ.""УЧИЛИЩНА""№ 11","Основно училище ""Отец Паисий""",община,основно (І - VІІІ клас)
453,"Елена, Велико Търново, Майско, ул.""Първа""30 а, 5085","Основно училище ""Отец Паисий""",община,основно (І - VІІІ клас)
454,"Златарица, Велико Търново, Горско ново село, с.Горско Ново село; ул.""Трета""№2, 5075","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
455,"Велико Търново, Златарица, Златарица, ул.""Димитър Палев "" №3-5, 5090","Средно общообразователно училище  ""Св. св. Кирил и Методий""",община,СОУ (І - ХІІ клас)
456,"Велико Търново, Златарица, Златарица, 5090, гр. Златарица, ул. ""Ропотамо"" 19","Професионална гимназия по механизация   на селското стопанство ""Никола Златарски""",Министерство на земеделието и храните,професионална гимназия
457,"Велико Търново, Златарица, Средно село, 5088, с. Средно село","Основно Училище ""Васил Левски""",община,основно (І - VІІІ клас)
458,"Лясковец, Велико Търново, Джулюница, ул. ""Стефан Стамболов"" 1, 5146","Основно училище ""Петко Рачев Славейков""",община,основно (І - VІІІ клас)
459,"Велико Търново, Лясковец, Лясковец, 5140, ул. ""Петър Оджаков"" № 1","НАЧАЛНО УЧИЛИЩЕ ""ЦАНИ ГИНЧЕВ""",община,начално (І - ІV клас)
460,"Лясковец, Велико Търново, Лясковец, 5140, ул. ""Н. Козлев"" №76","Начално училище ""Никола Козлев""",община,начално (І - ІV клас)
461,"Лясковец, Велико Търново, Лясковец, 5140, ул. "" Манастирска"" № 1","Средно общообразователно училище             ""Максим Райкович""",община,СОУ (І - ХІІ клас)
462,"Павликени, Велико Търново, Батак, ул."" Първа"" № 41, 5228","Основно училище ""Св.Св.Кирил и Методий""",община,основно (І - VІІІ клас)
463,"Велико Търново, Павликени, Бяла черква, ул. ""Бачо Киро"" № 65, 5220","Основно училище  ""Бачо Киро""",община,основно (І - VІІІ клас)
464,"Върбовка, Велико Търново, Павликени, ул. ""Първа"" № 53, 5233","Основно училище ""Филип Тотю""",община,основно (І - VІІІ клас)
465,"Караисен, Велико Търново, Павликени, 5230, ул.Двадесет и седма № 8","Основно училище   ""Хаджи Димитър и Стефан Караджа""",община,основно (І - VІІІ клас)
466,"Велико Търново, Павликени, Недан, ул. ""Тридесета"" № 1, 5231","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
467,"Велико Търново, Павликени, Павликени, 5200, ул.""Илия Златев"" №2","Основно училище   ""Св. Климент Охридски""",община,основно (І - VІІІ клас)
468,"Павликени, Велико Търново, Павликени, 5200, ул.""Св. Св. Кирил и Методий"" № 53","Средно общообразователно училище     ""Бачо Киро""",община,СОУ (І - ХІІ клас)
469,"Павликени, Велико Търново, Павликени, 5200, бул.""Руски"" №46","Професионална гимназия по аграрни   технологии ""Цанко Церковски""",Министерство на земеделието и храните,професионална гимназия
470,"Велико Търново, Полски Тръмбеш, Орловец, с.Орловец, 5187","Начално  училище ""Христо Ботев""",община,начално (І - ІV клас)
471,"Петко Каравелово, Велико Търново, Полски Тръмбеш, 5184, с.П.Каравелово","Основно училище ""Васил Левски""",община,основно (І - VІІІ клас)
472,"Велико Търново, Полски Тръмбеш, Полски Тръмбеш, ""Училищна"" 25, 5180","Средно общообразователно училище   ""Цанко Церковски""",община,СОУ (І - ХІІ клас)
473,"Велико Търново, Полски Тръмбеш, Раданово, с.Раданово, общ.П.Тръмбеш, 5185","Основно училище   ""Св.Св.Кирил и Методий""",община,основно (І - VІІІ клас)
474,"Полски Тръмбеш, Велико Търново, Страхилово, 5190, с. Страхилово","Основно училище ""Св.Св.Кирил и Методий""",община,основно (І - VІІІ клас)
475,"Алеково, Велико Търново, Свищов, с. Алеково, 5288","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
476,"Морава, Велико Търново, Свищов, ул.""Трети март"" №8, 5291","Основно училище  ""Св.св. Кирил и Методий""",община,основно (І - VІІІ клас)
477,"Велико Търново, Свищов, Овча могила, с.Овча могила, ул. ""Г.Бенковски"" №2, 5295","Основно училище ""Св. Св. Кирил и Методий""",община,основно (І - VІІІ клас)
478,"Ореш, Велико Търново, Свищов, 5280, ул. ""Главна"" №7","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
479,"Велико Търново, Свищов, Свищов, ул.Ал. Константинов№24, 5250","Основно училище   ""Филип Сакелариевич""",община,основно (І - VІІІ клас)
480,"Свищов, Велико Търново, Свищов, 5250, ул. ""Черни връх"" № 66","Средно общообразователно училище   ""Цветан Радославов""",община,СОУ (І - ХІІ клас)
481,"Велико Търново, Свищов, Свищов, 5250, ""Хр. Павлович"" № 8","Средно общообразователно училище   ""Николай Катранов""",община,СОУ (І - ХІІ клас)
482,"Свищов, Велико Търново, Свищов, 5250, УЛ. ""ПЕТЪР АНГЕЛОВ"" №17","Средно общообразователно училище ""Димитър Благоев""",община,СОУ (І - ХІІ клас)
483,"Свищов, Велико Търново, Свищов, ул. ""Димитър Хадживасилев"" № 11, 5250","Държавна търговска гимназия   ""Димитър Хадживасилев""",Министерство на образованието и науката,професионална гимназия
484,"Свищов, Велико Търново, Свищов, 5250, ул. ""3-ти март"" №74","Професионална гимназия  ""Проф.д-р Асен Златаров""",Министерство на образованието и науката,професионална гимназия
485,"Свищов, Велико Търново, Свищов, ул. ""Искър"" № 19, 5250",Професионална гимназия   по лека промишленост и строителство,Министерство на образованието и науката,професионална гимназия
486,"Велико Търново, Стражица, Асеново, ул.""Седма"" 14, 5159","Основно училище ""Свети свети Кирил и Методий""",община,основно (І - VІІІ клас)
487,"Виноград, Велико Търново, Стражица, ул. ""Трета"" №1, 5171","Основно училище ""Свети Климент Охридски""",община,основно (І - VІІІ клас)
488,"Камен, Велико Търново, Стражица, с. Камен, общ. Стражица,ул. ""Н.Вапцаров"" №2, 5160","Средно общообразователно училище   ""Св. Климент Охридски""",община,СОУ (І - ХІІ клас)
489,"Велико Търново, Стражица, Кесарево, ул. ""Цар Роман"", №1, 5161","Основно училище ""Николай Райнов""",община,основно (І - VІІІ клас)
490,"Стражица, Велико Търново, Стражица, кв.66  ул.""Дончо Узунов"" 13, 5150","Средно общообразователно училище ""Ангел Каралийчев""",община,СОУ (І - ХІІ клас)
491,"Стражица, Велико Търново, Стражица, ""СТ.КАРАДЖА"" 34, 5150","Професионална гимназия по транспорт   ""Васил Друмев""",Министерство на образованието и науката,професионална гимназия
492,"Сушица, Велико Търново, Стражица, ул. Христо Ботев №39, 5177","Начално училище ""Отец Паисий""",община,начално (І - ІV клас)
493,"Царски извор, Велико Търново, Стражица, ул. ""Чапаев"" 5, 5174","Начално училище ""Иван Вазов""",община,начално (І - ІV клас)
494,"Сухиндол, Велико Търново, Сухиндол, 5240, ул.""Росица""№78","Средно общообразователно   училище ""Св. Климент Охридски""",община,СОУ (І - ХІІ клас)
495,"Белоградчик, Видин, Белоградчик, 3900, ул.""Иван Вазов"" 4А","Средно  общообразователно  училище    ""Христо  Ботев""",община,V - ХІІ клас
496,"Белоградчик, Видин, Белоградчик, пл.""Възраждане"" №4, 3900","Начално училище ""Васил Левски""",община,начално (І - ІV клас)
497,"Белоградчик, Видин, Рабиша, Рабиша, 3938","Основно училище ""Васил Евстатиев Априлов""",община,основно (І - VІІІ клас)
498,"Бойница, Видин, Бойница, 3840, ул.""Стефан Кораджа"",№1","Основно училище ""Васил Левски""",община,основно (І - VІІІ клас)
499,"Бойница, Видин, Раброво, 3792, с. Раброво, ул.12 No 2","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
500,"Видин, Брегово, Брегово, 3790, ""Георги Димитров"" 1","Средно общообразователно училище     ""Св. Св. Кирил и Методий""",община,СОУ (І - ХІІ клас)
501,"Брегово, Видин, Брегово, ул. ""Мичурин"" 2, 3790","Професионална гимназия по земеделие   ""Васил Левски""",Министерство на земеделието и храните,професионална гимназия
502,"Видин, Видин, Видин, 3700, ""Княз Борис I"" №25","Природоматематическа гимназия   ""Екзарх Антим I""",община,профилирана гимназия
503,"Видин, Видин, Видин, ул.""Любен Каравелов"" № 29, 3700","Средно общообразователно училище  ""Любен Каравелов""",община,СОУ (І - ХІІ клас)
504,"Видин, Видин, Видин, ул. ""Бдин"" №66, 3700","Професионална техническа   гимназия     ""Васил Левски""",Министерство на образованието и науката,професионална гимназия
505,"Видин, Видин, Видин, ул.""Гладстон"" № 42, 3700","Професионална гимназия   по туризъм  ""Михалаки Георгиев""",Министерство на образованието и науката,професионална гимназия
506,"Видин, Видин, Видин, 3700, Кв. ""Нов път""",Основно училище  Епископ Софроний Врачански,община,ОУ с професионални паралелки
507,"Видин, Видин, Видин, ул.""Екзарх Йосиф I"" 53, 3700","Основно училище ""Отец Паисий",община,основно (І - VІІІ клас)
508,"Видин, Видин, Видин, ул.""Екзарх Йосиф "" №17, 3700","Основно училище ""Свети Климент Охридски""",община,основно (І - VІІІ клас)
509,"Видин, Видин, Видин, Южна промишлена зона, 3700","Професионална  гимназия ""Проф. д-р Асен Златаров""",Министерство на образованието и науката,професионална гимназия
510,"Видин, Видин, Видин, ул.""Владикина"" № 57, 3700","Средно общообразователно училище   ""Христо Ботев""",община,СОУ (І - ХІІ клас)
511,"Видин, Видин, Видин, 3700, ул.""Търговска"" № 6","Средно общообразователно училище     ""Цар Симеон Велики""",община,СОУ (І - ХІІ клас)
512,"Видин, Видин, Видин, 3700, ул. ""Горазд"" № 23","Средно общообразователно училище   ""Свети свети Кирил и Методий""",община,СОУ (І - ХІІ клас)
513,"Видин, Видин, Видин, 3700, ул. ""П. Р. Славейков“ №17","Средно общообразователно училище  ""Петко Рачов Славейков""",община,СОУ (І - ХІІ клас)
514,"Видин, Видин, Видин, 3700, ул. ""Цар Симеон Велики"" №101","Основно училище ""Иван Вазов""",община,основно (І - VІІІ клас)
515,"Видин, Видин, Видин, 3700, ул. ""П.Р.Славейков"" №28","Гимназия с преподаване на чужди езици ""Йордан Радичков""",община,профилирана гимназия
516,"Видин, Видин, Видин, ул. „Екзарх Йосиф I“ № 51, 3700","Помощно училище  ""Д-р Петър Берон""",Министерство на образованието и науката,помощно (за деца с умствена изостаналост)
517,"Видин, Видин, Дунавци, ул. Г.Димитров 248, 3740","Професионална гимназия   по селско стопанство  ""Г.М.Димитров""",Министерство на земеделието и храните,професионална гимназия
518,"Видин, Видин, Дунавци, 3740, ул.Георги Димитров "" 73","Основно училище ""Христо Ботев """,община,основно (І - VІІІ клас)
519,"Грамада, Видин, Грамада, 3830, ул. ""Ангел Мишев"" № 1","Средно общообразователно училище ""Христо Ботев""",община,СОУ (І - ХІІ клас)
520,"Арчар, Видин, Димово, ул. „Васил Левски“ №7, 3770","Средно общообразователно училище ""Христо Ботев""",община,СОУ (І - ХІІ клас)
521,"Видин, Димово, Димово, 3750, ул. ""Георги Димитров"" № 38",Професионална гимназия по икономика,община,професионална гимназия
522,"Димово, Видин, Димово, ул. ""Г. Димитров"" № 38, 3750","Основно училище   ""Свети свети Кирил и Методий""",община,основно (І - VІІІ клас)
523,"Орешец, Видин, Димово, УЛ. Д. Благоев № 13, 3940",Основно училище Димитър Благоев,община,основно (І - VІІІ клас)
524,"Кула, Видин, Кула, ул. ""Възраждане"", № 32, 3800","Средно общообразователно училище  ""Васил Левски""",община,СОУ (І - ХІІ клас)
525,"Видин, Макреш, Раковица, 3820, УЛ. "" ПЪРВА"" № 2","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
526,"Видин, Ново село, Ново село, 3784, ул. ""Н. Петков"" 2-4","Средно общообразователно училище ""Св. Св. Кирил и Методий""",община,СОУ (І - ХІІ клас)
527,"Видин, Ружинци, Бело поле, ул.""Витко Иванов""№10, 3961","Основно училище   ""Свети Свети Кирил и Методий""",община,основно (І - VІІІ клас)
528,"Видин, Ружинци, Дреновец, 3920, ул.""Георги Димитров"" 130","Средно общообразователно училище  ""Никола Йонков Вапцаров""",община,СОУ (І - ХІІ клас)
529,"Видин, Ружинци, Ружинци, ул. ""Горан Ценов"" 2, 3930","Средно общообразователно училище    ""Никола  Й.  Вапцаров""",община,СОУ (І - ХІІ клас)
530,"Горни Лом, Видин, Чупрене, 3960, с.Горни Лом","Основно училище""Христо Ботев""",община,основно (І - VІІІ клас)
531,"Видин, Чупрене, Чупрене, 3950, с.Чупрене","Основно училище    ""Академик Михаил Димитров""",община,основно (І - VІІІ клас)
532,"Враца, Борован, Борован, с. Борован ул. Хр. Смирненски 2, 3240","Основно училище ""Отец Паисий""",община,основно (І - VІІІ клас)
533,"Враца, Борован, Борован, ул.""Рашо Трифонов"" № 2, 3240","Професионална гимназия   по транспорт ""Коста Петров""",Министерство на образованието и науката,професионална гимназия
534,"Добролево, Враца, Борован, 3253, с. Добролево","Основно училище "" Св. Св Кирил и Методий""",община,основно (І - VІІІ клас)
535,"Малорад, Враца, Борован, 3255, с. Малорад","Основно училище  ""Свети свети Кирил и  Методий""",община,основно (І - VІІІ клас)
536,"Враца, Бяла Слатина, Бяла Слатина, кв.28, ул. ""Марица"" 18, 3200","Професионална гимназия по облекло ""Елисавета Багряна""",Министерство на образованието и науката,професионална гимназия
537,"Бяла Слатина, Враца, Бяла Слатина, ул.""Кл.Охридски"" - № 60, 3200","Начално училище ""Христо Ботев""",община,начално (І - ІV клас)
538,"Бяла Слатина, Враца, Бяла Слатина, ул. ""Димитър Благоев""61, 3200","Начално училище ""Цани Гинчев""",община,начално (І - ІV клас)
539,"Бяла Слатина, Враца, Бяла Слатина, ул.""Струга"" - № 10, 3200","Начално училище ""Христо Смирненски""",община,начално (І - ІV клас)
540,"Враца, Бяла Слатина, Бяла Слатина, 3200, ул. ""Димитър Благоев"" № 57","Прогимназия ""Св.Климент Охридски""",община,прогимназия (V - VІІІ клас)
541,"Враца, Бяла Слатина, Бяла Слатина, ул. ""Климент Охридски"" №36, 3200","Средно общообразователно училище   ""Васил Левски""",община,СОУ (І - ХІІ клас)
542,"Бяла Слатина, Враца, Бяла Слатина, ул. ""П.Волов"" № 2, 3200","Професионална агротехническа гимназия   ""Никола Йонков Вапцаров""",Министерство на земеделието и храните,професионална гимназия
543,"Габаре, Враца, Бяла Слатина, 3265, с.Габаре, общ. Бяла Слатина, ул. Тома Николов №1","Средно общообразователно училище   ""Христо Ботев""",община,СОУ (І - ХІІ клас)
544,"Враца, Бяла Слатина, Галиче, с.Галиче, 3250","Средно общообразователно училище     ""Христо Ботев""",община,СОУ (І - ХІІ клас)
545,"Враца, Бяла Слатина, Попица, 3244, с.Попица","Основно училище   ""Св.св.Кирил и Методий""",община,основно (І - VІІІ клас)
