№,Адрес,Име на училище,Вид училище по чл. 10 от ЗНП,Вид училище по чл. 26от ЗНП
1050,"Пазарджик, Пазарджик, Синитово, с.Синитово, 4442","Основно училище  ""Васил Априлов""",община,основно (І - VІІІ клас)
1051,"Хаджиево, Пазарджик, Пазарджик, ул.""Първа""21, 4441","ОСНОВНО УЧИЛИЩЕ  ""ГЕОРГИ  БЕНКОВСКИ""",община,основно (І - VІІІ клас)
1052,"Пазарджик, Пазарджик, Черногорово, 4455, ул. Първа №1","Начално училище ""Кирил и Методий""",община,начално (І - ІV клас)
1053,"Пазарджик, Пазарджик, Черногорово, 4455, с.Черногорово","Прогимназия""Асен Златаров""",община,прогимназия (V - VІІІ клас)
1054,"Юнаците, Пазарджик, Пазарджик, 4420, ул.""Първа"" № 16","ОСНОВНО УЧИЛИЩЕ   "" ХРИСТО БОТЕВ""",община,основно (І - VІІІ клас)
1055,"Панагюрище, Пазарджик, Панагюрище, 4500, ул""Делчо Спасов"" № 1а",Основно училище   Професор Марин Дринов,община,основно (І - VІІІ клас)
1056,"Панагюрище, Пазарджик, Панагюрище, 4500, ул. ""Никола Мареков"" №6","Основно училище  ""Двайсти април""",община,основно (І - VІІІ клас)
1057,"Панагюрище, Пазарджик, Панагюрище, 4500, ""Цар Освободител"" №7","Средно общообразователно училище  ""Нешо Бончев""",община,СОУ (І - ХІІ клас)
1058,"Панагюрище, Пазарджик, Панагюрище, 4500, ул. ""Петко Мачев"", 4","ПРОФЕСИОНАЛНА  ГИМНАЗИЯ   ПО ИНДУСТРИАЛНИ ТЕХНОЛОГИИ, МЕНИДЖМЪНТ И ТУРИЗЪМ",Министерство на образованието и науката,професионална гимназия
1059,"Поибрене, Пазарджик, Панагюрище, ул.""Никола Барбалов"" №10, 4524","ОСНОВНО УЧИЛИЩЕ ""СВЕЩЕНИК НЕДЕЛЬО ИВАНОВ""",община,основно (І - VІІІ клас)
1060,"Попинци, Пазарджик, Панагюрище, ул.""Александър Стамболийски"" №1, 4528","ОСНОВНО УЧИЛИЩЕ ""ОТЕЦ ПАИСИЙ""",община,основно (І - VІІІ клас)
1061,"Пазарджик, Пещера, Пещера, 4550, Ул. ""Трети март"" 3","Основно училище   ""Петко Рачов Славейков""",община,основно (І - VІІІ клас)
1062,"Пазарджик, Пещера, Пещера, ул. "" Иван Попов "" № 1, 4550","Начално Училище "" Михаил Каролиди """,община,начално (І - ІV клас)
1063,"Пещера, Пазарджик, Пещера, кв.""Луковица"", ул.""Младост"" 10, 4550","Начално Училище ""Михаил Куманов""",община,начално (І - ІV клас)
1064,"Пещера, Пазарджик, Пещера, 4550, Васил Левски 1","Основно училище   ""Свети Патриарх Евтимий""",община,основно (І - VІІІ клас)
1065,"Пазарджик, Пещера, Пещера, ул.""Димчо Дебелянов""5, 4550","Средно общообразователно училище    ""Свети Климент Охридски""",община,СОУ (І - ХІІ клас)
1066,"Пещера, Пазарджик, Пещера, 4550, ул.""Свети Константин""-54","Професионална гимназия по хранително-  вкусови технологии  ""Атанас Ченгелев""",Министерство на земеделието и храните,професионална гимназия
1067,"Пещера, Пазарджик, Пещера, 4550, ул. Веселин Стайков №15","Основно училище ""Любен Каравелов""",община,основно (І - VІІІ клас)
1068,"Пещера, Пазарджик, Пещера, ""Веселин Стайков "" №15, 4550","Професионална гимназия  по  лека   промишленост  и машиностроене ""Васил Левски""",Министерство на образованието и науката,професионална гимназия
1069,"Ракитово, Пазарджик, Дорково, ул.""Христо Ботев"" №1, 4641","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
1070,"Пазарджик, Ракитово, Костандово, площад ""Европа"" № 1, 4644","Основно училище ""Неофит Рилски""",община,основно (І - VІІІ клас)
1071,"Ракитово, Пазарджик, Ракитово, ул. ""Т.Тупаров"" № 4, 4640","Средно общообразователно училище   ""Свети Климент Охридски""",община,СОУ (І - ХІІ клас)
1072,"Ракитово, Пазарджик, Ракитово, 4640, ул. ""Георги Георгиев"" 1","Средно общообразователно оздравително   училище ""Христо Смирненски""",община,оздравително
1073,"Ракитово, Пазарджик, Ракитово, 4640, УЛ.""БР.КРЪСТИНИ""№2","Помощно училище ""Д-р Петър Берон""",Министерство на образованието и науката,помощно (за деца с умствена изостаналост)
1074,"Ракитово, Пазарджик, Ракитово, 4640, Ул.""Парка""","Възпитателно училище-интернат    ""Ангел Узунов""      I-XII клас",Министерство на образованието и науката,възпитателно училище - интернат (ВУИ)
1075,"Ракитово, Пазарджик, Ракитово, 4640, ул.""Вела Пеева""№46","ОСНОВНО УЧИЛИЩЕ   ""ХРИСТО БОТЕВ""",община,основно (І - VІІІ клас)
1076,"Септември, Пазарджик, Варвара, с.Варвара, 4492","Основно училище    ""Никола Йонков Вапцаров""",община,основно (І - VІІІ клас)
1077,"Ветрен, Пазарджик, Септември, гр.Ветрен, 4480","Основно училище   ""Св. св. Кирил и Методий""",община,основно (І - VІІІ клас)
1078,"Пазарджик, Септември, Ветрен дол, Ветрен-дол, 4493","Основно училище  ""Христо Смирненски""",община,основно (І - VІІІ клас)
1079,"Виноградец, Пазарджик, Септември, 4487, с.Виноградец",ПРОФЕСИОНАЛНА  ГИМНАЗИЯ   ПО  ТРАНСПОРТ,община,професионална гимназия
1080,"Пазарджик, Септември, Виноградец, 4487, с. Виноградец , общ.Септември , обл.Пазарджик","ОСНОВНО  УЧИЛИЩЕ   "" ГЕОРГИ  БЕНКОВСКИ """,община,основно (І - VІІІ клас)
1081,"Злокучене, Пазарджик, Септември, 4491, с. Злокучане","Начално училище ""Св. св. Кирил и Методий""",община,начално (І - ІV клас)
1082,"Септември, Пазарджик, Карабунар, ул. ""Тридесет и шеста"" № 10, 4484","ОСНОВНО УЧИЛИЩЕ   ""ХРИСТО БОТЕВ""",община,основно (І - VІІІ клас)
1083,"Ковачево, Пазарджик, Септември, с.Ковачево, 4477",Основно училище  ”Св.св.Кирил и Методий”,община,основно (І - VІІІ клас)
1084,"Семчиново, Пазарджик, Септември, Семчиново, ул.""Втора"" №14, 4474","Основно училище ""Христо Ботев""",община,основно (І - VІІІ клас)
1085,"Пазарджик, Септември, Септември, 4490, ""Св. Св. Кирил и Методий""№ 115","Начално училище ""Васил Левски""",община,начално (І - ІV клас)
1086,"Септември, Пазарджик, Септември, 4490, бул. ""България"" №42","Средно общообразователно училище   ""Христо Ботев""",община,СОУ (І - ХІІ клас)
1087,"Септември, Пазарджик, Септември, 4490, бул.""България""72",Професионална гимназия по   механизация на земеделското стопанство,Министерство на земеделието и храните,професионална гимназия
1088,"Пазарджик, Септември, Септември, Ул""Св.Св.Кирил и Методий""№1, 4490","Средно общообразователно училище   ""Христо Смирненски""",община,СОУ (І - ХІІ клас)
1089,"Септември, Пазарджик, Симеоновец, ОУ с.Симеоновец, 4475","Основно  училище   ""Св. Св. Кирил и Методий""",община,основно (І - VІІІ клас)
1090,"Стрелча, Пазарджик, Стрелча, 4530, бул. ""България"" 101","Начално  училище ""П. Хилендарски""",община,начално (І - ІV клас)
1091,"Пазарджик, Стрелча, Стрелча, 4530, бул.""България""  69","Средно общообразователно училище ""Св.Св. Кирил и Методий""",община,V - ХІІ клас
1092,"Пазарджик, Сърница, Медени поляни, Медени поляни, 4637","Основно училище  ""Георги Сава Раковски""",община,основно (І - VІІІ клас)
